token,reason,enabled,match_count,sample_titles,note
a급,bait_or_noise,1,587,서울 갤럭시 S25 울트라 (S938) 256 실버 A급 | 갤럭시 S25울트라 그레이 256기가 A급 팔아요~ | 갤럭시 S25울트라 티타늄 그레이 256기가 A급 팔아요~,정상 상품까지 제외될 수 있으니 검토 후 반영
강화유리,accessory_or_low_signal,1,107,"갤럭시 s25 울트라 삼성 정품 ar 필름, uag 강화유리 | 갤럭시 s25 울트라 강화유리 카메라 렌즈 커버 보호대 / 투명2개 | 갤럭시 s25 울트라 삼성 정품 ar 필름, uag 강화유리 일괄",정상 상품까지 제외될 수 있으니 검토 후 반영
구매,bait_or_noise,1,96,(구매) 갤럭시s25 울트라 삼성 정품 스탠딩 그립 케이스 화이트 구매 | (구매) 갤럭시s25 울트라 삼성 정품 스탠딩 그립 케이스 화이트 구매 합니다 | 업무상 앱 테스트폰 갤럭시 S25 울트라 1테라 자급제용 삼성닷컴 구매,정상 상품까지 제외될 수 있으니 검토 후 반영
구함,bait_or_noise,1,7,(구함) 닌텐도 스위치 라이트 구해요 | (구함) 닌텐도 스위치 친구모아 아일랜드 칩 | (구함) 닌텐도 스위치 친구모아 아일랜드,정상 상품까지 제외될 수 있으니 검토 후 반영
구해요,bait_or_noise,1,32,"케이스티파이 마블 스파이더맨 아이폰 16프로 케이스 구해요 | 아이폰16프로,화이트로 구해요ㅠㅠ | 아이폰 16프로 아니면 17프로 대여 구해요",정상 상품까지 제외될 수 있으니 검토 후 반영
급처,bait_or_noise,1,129,갤럭시 S25 급처 판매 새폰급 | (급처)갤럭시S26울트라 512gb 자급제 블랙 | 급처) 아이폰 6 실버 16기가,정상 상품까지 제외될 수 있으니 검토 후 반영
나눔,bait_or_noise,1,1,[나눔] 아이폰 15 프로 시나모롤 케이스,정상 상품까지 제외될 수 있으니 검토 후 반영
대여,bait_or_noise,1,40,"제베원 라이즈 루시 갤럭시 s25 울트라 대여 공연장직거래 부산 | [프로상점,대여] 갤럭시 s25울트라 512기가 | [대여]갤럭시S25 울트라 1일 단기 렌탈 임대 콘서트폰 빌리팩토리",정상 상품까지 제외될 수 있으니 검토 후 반영
렌탈,bait_or_noise,1,11,"[대여]갤럭시S25 울트라 1일 단기 렌탈 임대 콘서트폰 빌리팩토리 | [폰고|월56,500원] 아이폰16프로 렌탈/할부 서비스!! | [대여]아이폰16프로 1일 단기 렌탈 임대 하객 스냅샷 결혼식 촬영",정상 상품까지 제외될 수 있으니 검토 후 반영
매입,bait_or_noise,1,136,삽니다) 갤럭시 z폴드7 z플립7 s26울트라 s26플러스 s26 매입 | 매입) 갤럭시 z폴드7 z플립7 s26울트라 s26플러스 s26 삽니다 | 매입) 아이폰매입 아이폰17프로 아이폰17프로맥스 16프로맥스 16프로,정상 상품까지 제외될 수 있으니 검토 후 반영
맥세이프,accessory_or_low_signal,1,523,갤럭시 s25 울트라 맥세이프 케이스 | 갤럭시S25울트라 슈피겐 맥세이프 케이스판매합니다 | 갤럭시S25울트라 슈피겐 나노팝맥핏 맥세이프 케이스 판매합니다,정상 상품까지 제외될 수 있으니 검토 후 반영
무료,bait_or_noise,1,4,아이폰16프로 케이스티파이 맥세이프 배송비 무료 | 택배비 무료 닌텐도 스위치 인기에임 닌텐도 게임 판매 10페이지 | [PS4 플스4] 사이버펑크 2077 / PS5 무료 업그레이드,정상 상품까지 제외될 수 있으니 검토 후 반영
삽니다,bait_or_noise,1,249,(삽니다) 갤럭시 S26울트라 /폴드7 / 플립7 / s25울트라 미개봉 | 갤럭시s25  울트라 512기가 삽니다 | 갤럭시 S25 울트라 속박스 및 구성품 삽니다,정상 상품까지 제외될 수 있으니 검토 후 반영
액정,accessory_or_low_signal,1,45,갤럭시 s25 울트라 액정 보호 필름 강화유리 . 사 | (새제품/개봉)힐링쉴드 갤럭시 S25/S24 플러스 AR 액정 보호 필름 | 갤럭시S25플러스실버쉐도우256GB센터판(삼성정품 올교체.액정.,정상 상품까지 제외될 수 있으니 검토 후 반영
케이스,accessory_or_low_signal,1,2666,갤럭시 S25 울트라 케이스 | 케이스티파이 짱구 갤럭시 S25 울트라 케이스 | 갤럭시S25울트라 호환 맨유 골드 앰블럼 굿즈 케이스 판매,정상 상품까지 제외될 수 있으니 검토 후 반영
클리어,accessory_or_low_signal,1,90,갤럭시 S25 플러스 맥세이프 호환 클리어 케이스 | 삼성 갤럭시 S25+ 정품 클리어 케이스 | [미개봉] 삼성 정품 갤럭시S26울트라 클리어 케이스,정상 상품까지 제외될 수 있으니 검토 후 반영
판매,bait_or_noise,1,922,갤럭시S25울트라 호환 맨유 골드 앰블럼 굿즈 케이스 판매 | 갤럭시 s25 울트라 512gb 교신및 판매 | 갤럭시s25 울트라 512gb 중고 판매,정상 상품까지 제외될 수 있으니 검토 후 반영
판매합니다,bait_or_noise,1,1411,갤럭시S25울트라 슈피겐 나노팝맥핏 맥세이프케이스 판매합니다 | 갤럭시S25울트라 슈피겐 나노팝맥핏 맥세이프 케이스 판매합니다 | 갤럭시s25울트라 512g 실버 판매합니다,정상 상품까지 제외될 수 있으니 검토 후 반영
필름,accessory_or_low_signal,1,113,"갤럭시s25 울트라 1tb 12g 자급제 화이트실버 케이스, 필름 | 갤럭시 s25울트라 정품/링케/엘라딕 카본 케이스,필름 | 갤럭시 s25 울트라 삼성 정품 ar 필름, uag 강화유리",정상 상품까지 제외될 수 있으니 검토 후 반영
